大区分,品名,相数,容量,1次,2次,結線,CP,コード,型式,定価,貴社仕切
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2139,3OT3P50K663K2C,3444000 ,1028000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2185,3OT3P75K663K2C,4126000 ,1231600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2186,3OT3P100K663K2C,4855000 ,1449200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2187,3OT3P150K663K2C,6256000 ,1867200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2188,3OT3P200K663K2C,7610000 ,2271600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2165,3OT3P300K663K2C,11192000 ,3340800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2166,3OT3P500K663K2C,17818000 ,5318800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2169,3OT3P750K663K2C,22853000 ,6821600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1000,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2170,3OT3P1000K663K2C,30469000 ,9095200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1500,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2178,3OT3P1500K663K2C,45938000 ,13712800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,2000,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2182,3OT3P2000K663K2C,60930000 ,18188000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2104,3OT3P20K63K2C,2506000 ,748000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2105,3OT3P30K63K2C,2758000 ,823200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2106,3OT3P50K63K2C,3309000 ,987600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2141,3OT3P75K63K2C,3951000 ,1179200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2142,3OT3P100K63K2C,4650000 ,1388000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2143,3OT3P150K63K2C,5994000 ,1789200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2144,3OT3P200K63K2C,7299000 ,2178800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2183,3OT3P300K63K2C,10720000 ,3200000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2184,3OT3P500K63K2C,17079000 ,5098000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2185,3OT3P750K63K2C,21901000 ,6537600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1000,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2186,3OT3P1000K63K2C,29198000 ,8715600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1500,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2187,3OT3P1500K63K2C,44025000 ,13141600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,2000,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2188,3OT3P2000K63K2C,58395000 ,17431200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS6K(3ﾀｯﾌﾟ),440-254,Δ/Yn,無,1432-2226,3OT3P20K66K4,2611000 ,779200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS6K(3ﾀｯﾌﾟ),440-254,Δ/Yn,無,1432-2236,3OT3P30K66K4,2879000 ,859200 
